Zona de planificacion;Distrito;Distrito MIES;Provincia;id_provincia;Canton;id_canton;Parroquia;id_parroquia;Región;Servicio;Modalidad;Modalidad_1;Tipo gestion_ua;Fuente financiamiento_ua;Tipo administracion_ua;Cooperante;Hombre;"Mujer
(excluye mujeres gestantes)";"Total
(excluye mujeres gestantes)";Total general (incluye mujeres gestantes);1_0 - 3 primera infancia Hombre;1_0 - 3 primera infancia Mujer;2_4 - 5 primera infancia Hombre;2_4 - 5 primera infancia Mujer;3_6 - 11 segunda infancia Hombre;3_6 - 11 segunda infancia Mujer;4_12 - 14 adolescencia Hombre;4_12 - 14 adolescencia Mujer;5_15 - 17 adolescencia Hombre;5_15 - 17 adolescencia Mujer;6_18 - 29 juventud Hombre;6_18 - 29 juventud Mujer;7_30 - 64 adultez Hombre;7_30 - 64 adultez Mujer;8_65 y más adulta mayor Hombre;8_65 y más adulta mayor Mujer;Afroecuatoriano Hombre;Afroecuatoriano Mujer;Indígena Hombre;Indígena Mujer;Mestizo Hombre;Mestizo Mujer;Montuvio Hombre;Montuvio Mujer;Blanco Hombre;Blanco Mujer;Otro Hombre;Otro Mujer;Sin discapacidad Hombre ;Sin discapacidad Mujer;Con discapacidad Hombre;Con discapacidad Mujer;Con discapacidad Total;Discapacidad auditiva Hombre;Discapacidad auditiva Mujer;Discapacidad física Hombre;Discapacidad física Mujer;Discapacidad intelectual Hombre;Discapacidad intelectual Mujer;Discapacidad lenguaje Hombre;Discapacidad lenguaje Mujer;Discapacidad mental Hombre;Discapacidad mental Mujer;Discapacidad psicologico Hombre;Discapacidad psicologico Mujer;Discapacidad psicosocial Hombre;Discapacidad psicosocial Mujer;Discapacidad visual Hombre;Discapacidad visual Mujer;Discapacidad ninguna Hombre;Discapacidad ninguna Mujer;Capacidad máxima;*Area urbana rural;Asistencia promedio;Asistencia NT;DII_01_menor_6_m_Hombre;DII_01_menor_6_m_Mujer;DII_02_6a9_m_Hombre;DII_02_6a9_m_Mujer;DII_03_10a11_m_Hombre;DII_03_10a11_m_Mujer;DII_04_12a18_m_Hombre;DII_04_12a18_m_Mujer;DII_05_19a24_m_Hombre;DII_05_19a24_m_Mujer;DII_06_25a36_m_Hombre;DII_06_25a36_m_Mujer;DII_07_mayor_36_m_Hombre;DII_07_mayor_36_m_Mujer;Modalidad nueva;Modalidad nueva2;Ecuatoriano;Extranjero;Tiene_RS_SI_METRICA2018;Tiene_RS_NO_METRICA2018;EXTREMA_POBREZA_METRICA2018;POBRE_METRICA2018;NO_POBRE_METRICA2018;Tipo gasto;embarazada_SI;G3_6a11_segunda_infancia;G4_12a14_adolescencia;G5_15a17_adolescencia;G6_18a29_juventud;G7_30a64_adultez;G8_65_mas_adulta_mayor;dias_asistencia_embarazada;base_ninos;extremo_vulnerable_dii;vulnerable_dii;no_vulnerable_dii;Ficha_levantada_dii;base_embarazadas;extremo_vulnerable_embz;vulnerable_embz;no_vulnerable_embz;Ficha_levantada_embz;base_pam;vulnerabilidad_alta_pam;vulnerabilidad_media_pam;vulnerabilidad_baja_pam;Ficha_levantada_pam_Diurno_Activo_Domiciar;Ficha_levantada_pam_Residencial;base_pcd;vulnerabilidad_alta_pcd;vulnerabilidad_media_pcd;vulnerabilidad_baja_pcd;Ficha_levantada_Personas_con_Discapacidad;Sin asistencia;Tipo;servicio1;tipo_gestion_ua_o;Afganistán;Alemania;Alemania_República_Democrática;Antigua_y_Barbuda;Apátrida;Argelia;Argentina;Australia;Bahamas;Barbados;Bélgica;Bermudas;Bolivia;Brasil;Caimán_Islas;Canadá;Checa_República_Checoslovaquia;Chile;China_República_Popular_Pekin;Colombia;Corea_del_Sur_República_de;Costa_Rica;Cuba;Curazao_Isla;Dominicana_República;Egipto;El_Salvador;España;Estados_Unidos;Francia;Granada;Groenlandia;Guatemala;Guinea;Guinea_Bissau;Haití;Honduras;India;Irán_República_Islámica_de;Israel;Italia;Jamaica;Liechtestein;Marruecos;Martinica;Mexico;Nicaragua;Otras_naciones_de_Africa;Otras_naciones_de_America;Otras_Naciones_de_Europa;Panamá;Paraguay;Perú;Rwanda;Reino_Unido_Escocia_Gran_Bretaña_Inglaterra;Sudafrica_Ciskei;Surinam;Territorio_Británico_del_Oceáno_Índico;Ucrania;Uganda;Uruguay;Venezuela;Yemen;Sin_Especificar;SNAI_Si;SNAI_No;dias_asistencia_sum;DII_cobert_asist
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;23;22;45;45;23;22;;;;;;;;;;;;;;;;;;;23;22;;;;;;;23;22;;;;;;;;;;;;;;;;;;;;;;45;Urbano;17,58;20;;;;;;;2;;4;1;9;12;8;9;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;43;2;26;19;1;16;9;corriente;;;;;;;;;35;;33;2;35;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;45;791;1
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;DESARROLLO INFANTIL INTEGRAL;CNH - Misión Ternura;4.- CNH - Misión Ternura;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;19;24;43;45;19;24;;;;;;;;;;2;;;;;;;;;18;26;;;;;1;;19;25;;1;1;;;;;;1;;;;;;;;;;;;;45;Urbano;2,20;4;;;2;6;;1;5;2;3;4;6;10;3;1;CNH - Misión Ternura;4.- CNH - Misión Ternura;44;1;36;9;7;26;3;inversion;2;;;;2;;;2,50;7;;7;;7;;;;;;;;;;;;;;;;;;EXTRAMURAL;DESARROLLO INFANTIL INTEGRAL - MISIÓN TERNURA;PUBLICOS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;99;1
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;PROTECCION ESPECIAL;ERRADICACIÓN PROGRESIVA DE LA MENDICIDAD;4.- MENDICIDAD;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;36;44;80;80;;;;;;1;;;1;;2;4;7;18;26;21;;;;;29;37;;;;;7;7;27;28;9;16;25;;2;2;7;3;2;2;2;;;;;1;;1;3;;;80;Urbano;2,18;1;;;;;;;;;;;;;;;ERRADICACIÓN PROGRESIVA DE LA MENDICIDAD;4.- MENDICIDAD;41;39;47;33;10;32;5;corriente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EXTRAMURAL;PROTECCION ESPECIAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;174;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;12;28;40;40;;;;;;;;;;;;;;;12;28;;;;;10;28;;;;;2;;10;25;2;3;5;;;2;2;;;;1;;;;;;;;;;;40;Urbano;1,00;2;;;;;;;;;;;;;;;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;29;11;33;7;2;19;12;inversion;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;EXTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;25;37;62;62;;;;;;;;;;;;;1;;24;37;;;;;25;36;;;;;;1;20;27;5;10;15;2;2;3;7;;1;;;;;;;;;;;;;40;Urbano;0,32;2;;;;;;;;;;;;;;;ATENCIÓN DOMICILIARIA;3.- DOMICILIAR;58;4;60;2;8;44;8;inversion;;;;;;;;;;;;;;;;;;;6;1;2;3;6;;;;;;;;EXTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;PROTECCION ESPECIAL;MOVILIDAD HUMANA - CIUDADES DE ACOGIDA;7.- CIUDADES DE ACOGIDA;PUBLICOS;BID;CONTRATO;OSC;204;296;500;500;28;20;21;26;45;53;27;20;19;16;21;53;42;105;1;3;17;28;;;168;247;;;;;19;21;203;292;1;4;5;;;;3;1;;;1;;;;;;;;;;;500;Urbano;1,00;;;;;;;;;;;;;;;;MOVILIDAD HUMANA - CIUDADES DE ACOGIDA;7.- CIUDADES DE ACOGIDA;28;472;33;467;11;20;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EXTRAMURAL;PROTECCION ESPECIAL;PUBLICOS;;;;;;;;;;;;;;;;1;;;;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;238;;;;5;500;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;DESARROLLO INFANTIL INTEGRAL;ACOMPAÑAMIENTO FAMILIAR;1.- ACOMPAÑAMIENTO FAMILIAR;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;5;90;95;95;;;;;;;;;;;;14;5;76;;;;33;;5;5;49;;;;;;3;5;90;;;;;;;;;;;;;;;;;;;;;;96;Urbano;0,39;3;;;;;;;;;;;;;5;90;ACOMPAÑAMIENTO FAMILIAR;1.- ACOMPAÑAMIENTO FAMILIAR;95;;93;2;77;16;;;;;;;;;;;;;;;;2;;;2;2;;;;;;;;;;;;;EXTRAMURAL;ACOMPAÑAMIENTO FAMILIAR;PUBLICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;37;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;GONZÁLEZ SUÁREZ;040101;Sierra;PERSONAS ADULTOS MAYORES - PEJ;ESPACIOS DE SOCIALIZACIÓN Y ENCUENTRO;4.- ACTIVOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;OSC;30;45;75;75;;;;;;;;;;;;;;;30;45;;;;;30;45;;;;;;;24;39;6;6;12;1;1;4;4;;;;;;;;;;;1;1;;;75;Urbano;13,00;3;;;;;;;;;;;;;;;ESPACIOS ACTIVOS CON ALIMENTACION;4.- ACTIVOS CA;70;5;72;3;10;40;22;corriente;;;;;;;;;;;;;;;;;;;12;;2;10;12;;;;;;;;INTRAMURAL;PERSONAS ADULTOS MAYORES - PEJ;PUBLICOS;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975;
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;TULCÁN;040102;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;3.- CDI CONVENIOS;PUBLICOS;FONDOS MIES;CONVENIO DE COOPERACION;GAD - MUNICIPAL-CANTONAL;26;19;45;45;26;19;;;;;;;;;;;;;;;;;;;26;19;;;;;;;26;19;;;;;;;;;;;;;;;;;;;;;;45;Urbano;18,13;20;;;;;;;;;3;1;12;9;11;9;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);3.- CDI CONVENIOS;42;3;32;13;9;13;10;corriente;;;;;;;;;36;;34;2;36;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;44;816;1
Zona Planificación 1;04D01;UNIDAD DESCONCENTRADA DISTRITAL TIPO A TULCAN;CARCHI;04;TULCAN;0401;TULCÁN;040102;Sierra;DESARROLLO INFANTIL INTEGRAL;CENTROS DE DESARROLLO INFANTIL - CDI;2.- CDI DIRECTOS;PUBLICOS;FONDOS MIES;ADMINISTRACION DIRECTA;ESTATAL;60;39;99;99;60;39;;;;;;;;;;;;;;;;;3;1;57;38;;;;;;;60;39;;;;;;;;;;;;;;;;;;;;;;99;Urbano;17,62;20;;;;;;;;;10;5;29;20;21;14;CENTRO DE DESARROLLO INFANTIL–CDI–MIES(DIRECTOS - CONVENIOS);2.- CDI DIRECTOS;94;5;68;31;17;34;17;corriente;;;;;;;;;67;1;62;4;67;;;;;;;;;;;;;;;;;;INTRAMURAL;DESARROLLO INFANTIL INTEGRAL;PUBLICOS;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;97;1744;1
